NAME,FOLDERPATH,SYMBOLID,ALTMODE,BASE,CLAMPED,EXTRUDED,SNIPPET,POPUPINFO,SHAPE_LENG,SHAPE_LEN,AVG_SLOPE
보라매공원 산책길진입로,보라매공원 산책길.kmz,1,0,0.0,-1,0,,,0.00189645,0.0018964522962,정보 없음
봉제산숲 나들길,봉제산숲 나들길.kmz,0,0,0.0,-1,0,,등촌중학교 후문-담소터-봉제산배드민턴장-봉제산주능선길시작점-등서초등학교 운동장-뒷동산숲길 시작점-등촌중학교후문,0.02720487,0.0272048667265,정보 없음
봉제산숲 나들길1,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00388456,0.00388456381127,정보 없음
봉제산숲나들길진입로3,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00894959,0.00894958622946,정보 없음
봉제산숲나들길5,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00429046,0.00429046049689,정보 없음
봉제산숲나들길6,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00142236,0.00142235711856,정보 없음
봉제산숲나들길7,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00462874,0.00462873833067,정보 없음
봉제산숲나들길8,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00246985,0.00246985027194,정보 없음
봉제산숲나들길9,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00224111,0.00224110603283,정보 없음
봉제산숲나들길10,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00235714,0.00235713521109,정보 없음
봉제산숲나들길11,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00147458,0.00147457812625,정보 없음
보라매공원 산책길,보라매공원 산책길.kmz,0,0,0.0,-1,0,,보라매공원호수-인공암벽등반장-보라매공원후문,0.01729874,0.0172987360737,정보 없음
진입로(등촌역),봉제산숲 나들길.kmz,2,0,0.0,-1,0,,,0.0055326,0.00553259905477,정보 없음
진입로(까치산역),봉제산숲 나들길.kmz,2,0,0.0,-1,0,,,0.0087629,0.0087628995934,정보 없음
봉제산숲 나들길2,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00512647,0.00512647243529,정보 없음
봉제산숲나들길진입로4,봉제산숲 나들길.kmz,1,0,0.0,-1,0,,,0.00225902,0.00225902148638,정보 없음
북서울 꿈의숲 나들길2,북서울 꿈의숲 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"자연친화적인 공원, 외각 순환 산책로는 편하게 걸을 수 있으며 나지막한 야산 산책로가 정비되어 있다.
",0.00719189,0.0071918935416,정보 없음
북서울꿈의숲나들길진입로2,북서울 꿈의숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00129811,0.00129810533853,정보 없음
북서울꿈의숲나들길진입로3,북서울 꿈의숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00199342,0.00199341504278,정보 없음
북서울꿈의숲나들길진입로5,북서울 꿈의숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00200959,0.00200959352426,정보 없음
진입로(북서울꿈의숲 버스정류장),북서울 꿈의숲 산책길.kmz,1,0,0.0,-1,0,,,0.00172487,0.00172486540865,정보 없음
문화자원연계부,북악스카이웨이길.kmz,1,0,0.0,-1,0,,,0.00495355,0.00495355279842,정보 없음
북서울꿈의숲나들길진입로4,북서울 꿈의숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00202201,0.002022006876,정보 없음
강서문화 산책길,강서문화 산책길.kmz,0,0,0.0,-1,0,,양천향교-겸재정선기념관-궁산산책로-소악루-가로숲길-구암공원-허준박물관,0.02907659,0.0290765877499,정보 없음
진입로(양천향교역),강서문화 산책길.kmz,1,0,0.0,-1,0,,,0.00529011,0.00529010867064,정보 없음
개운산숲진입로1,개운산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00522432,0.00522432473259,정보 없음
개운산숲진입로2,개운산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00342127,0.00342127309554,정보 없음
개운산숲진입로3,개운산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00094621,0.000946208658893,정보 없음
개운산숲진입로4,개운산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00183845,0.00183845293927,정보 없음
개운산숲진입로5,개운산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.0015978,0.00159780053528,정보 없음
개운산숲진입로6,개운산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.01021489,0.0102148890532,정보 없음
개운산 숲 나들길,개운산숲나들길.kmz/임시 장소,1,0,0.0,-1,0,,"대도시에서 “녹색허파”로서의 역할과 수도권 주민들의 자연휴식처로 크게 애용되고 있다. 북학산은 주요 암봉 사이로 수십 개의 맑고 깨끗한 계곡이 형성되어 산과 물의 아름다운 조화를 빚어내고 있으며, 그 속에 1,300여 종의 동식물이 서식하고 있다. 또한 2,000년의",0.02275626,0.0227562600259,정보 없음
문화자원연계부,개운산숲나들길.kmz,2,0,0.0,-1,0,,,0.00350891,0.00350891067197,정보 없음
개웅산숲 산책길,임시 장소/개웅산숲 산책길.kmz,0,0,0.0,-1,0,,배드민턴장-야생화단지-숲속길,0.01720455,0.0172045498342,정보 없음
개웅산 숲 산책길진입로1,임시 장소/개웅산숲 산책길.kmz,1,0,0.0,-1,0,,,0.01242861,0.0124286123977,정보 없음
개웅산숲산책길,임시 장소/개웅산숲 산책길.kmz,1,0,0.0,-1,0,,,0.00501305,0.00501304520555,정보 없음
개화산나들길진입로1,개화산나들길.kmz,1,0,0.0,-1,0,,,0.00603083,0.00603082676935,정보 없음
관악산나들길진입로1,임시 장소/관악산나들길.kmz/임시 장소/임시 장소,1,0,0.0,-1,0,,,0.00132013,0.00132012865865,정보 없음
문화자원연계부,임시 장소/관악산나들길.kmz,2,0,0.0,-1,0,,,0.00059534,0.000595335480439,정보 없음
문화자원연계부,임시 장소/관악산나들길.kmz,2,0,0.0,-1,0,,,0.00248574,0.00248573609277,정보 없음
문화자원연계부,임시 장소/관악산나들길.kmz,2,0,0.0,-1,0,,,0.00359222,0.00359221902153,정보 없음
구로지양산숲 나들길,임시 장소/구로지양산숲 나들길.kmz/임시 장소,0,0,0.0,-1,0,,지양산숲길산책로출구~체력단련장~구로지양산숲길2~차돌바위~지양산산책로~온수역 6번 출입구~궁동터널위 지양산 숲길시작~ 야생화단지,0.03882633,0.038826325068,정보 없음
구로지양산숲 나들길진입로1,임시 장소/구로지양산숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.0078982,0.00789819594744,정보 없음
관악산나들길진입로2,임시 장소/관악산나들길.kmz/임시 장소/임시 장소,1,0,0.0,-1,0,,,0.00293504,0.00293503881821,정보 없음
관음사 산책길,관음사 산책길.kmz,0,0,0.0,-1,0,,관음사-상록약수터,0.00776849,0.00776848770319,정보 없음
진입로(사당역),관음사 산책길.kmz,1,0,0.0,-1,0,,,0.00997446,0.00997446133075,정보 없음
관악산계곡나들길,관악산계곡나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.05222093,0.0522209262811,정보 없음
관악산나들길,임시 장소/관악산나들길.kmz/임시 장소/임시 장소,0,0,0.0,-1,0,,,0.0353531,0.0353530968722,정보 없음
구로지양산숲 나들길진입로2,임시 장소/구로지양산숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.001748,0.00174800303593,정보 없음
진입로(염창역),달마을공원산책길.kmz,2,0,0.0,-1,0,,,0.00734412,0.00734411821338,정보 없음
남산순환진입로1,남산순환나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00458555,0.00458555352241,정보 없음
남산순환진입로3,남산순환나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.01144006,0.0114400570205,정보 없음
남산순환진입로4,남산순환나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.0103076,0.0103076014272,정보 없음
남산순환나들길,남산순환나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.1003032,0.100303197694,정보 없음
달마을공원산책길진입로1,달마을공원산책길.kmz,1,0,0.0,-1,0,,,0.00079908,0.000799083751939,정보 없음
대모산 나들길진입로1,임시 장소/대모산 나들길.kmz,1,0,0.0,-1,0,,,0.00885065,0.00885064687201,21.6%
대노산나들길진입로2,임시 장소/대모산 나들길.kmz,1,0,0.0,-1,0,,,0.00469582,0.00469582199089,18.4%
관악산나들길,임시 장소/관악산나들길.kmz/임시 장소/임시 장소,0,0,0.0,-1,0,,,0.03194504,0.0319450366711,정보 없음
남산야외식물원산책길,남산야외식물원산책길.kmz/임시 장소,1,0,0.0,-1,0,,,0.02438268,0.0243826847392,정보 없음
덕수궁진입로3,덕수궁산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00363304,0.0036330401043,정보 없음
진입로2,덕수궁산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00090199,0.000901985031484,정보 없음
덕수궁진입로1,덕수궁산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00303642,0.00303642492762,정보 없음
구로지양산숲 나들길진입로3,임시 장소/구로지양산숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00521113,0.00521112966577,정보 없음
구로지양산숲 나들길진입로4,임시 장소/구로지양산숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00316853,0.003168533236,정보 없음
문화자원연계부,임시 장소/구로지양산숲 나들길.kmz,2,0,0.0,-1,0,,,0.00703581,0.00703581495044,정보 없음
구룡산 나들길,구룡산 나들길.kmz,0,0,0.0,-1,0,,양재천 다리-달터근린공원 입구-달터근린공원-생태통로-구룡산길 시작-개암약수터,0.06966873,0.0696687262313,19.5%
구룡산나들길진입로1,구룡산 나들길.kmz,1,0,0.0,-1,0,,,0.00493879,0.0049387938692,4.8%
구룡산나들길진입로2,구룡산 나들길.kmz,1,0,0.0,-1,0,,,0.0026652,0.00266519772183,5.0%
낙성대 산책길,낙성대 산책길.kmz,0,0,0.0,-1,0,,안국사-낙성대 공원,0.01409469,0.0140946878035,정보 없음
문화자원연계부,낙성대 산책길.kmz,1,0,0.0,-1,0,,,0.00055418,0.000554177747786,정보 없음
진입로(버스정류장),낙성대 산책길.kmz,2,0,0.0,-1,0,,,0.00200392,0.00200391758553,정보 없음
구로지양산숲나들길2,임시 장소/구로지양산숲 나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.02913546,0.0291354629455,정보 없음
남산순환진입로2,남산순환나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00373088,0.00373087598626,정보 없음
달마을공원산책길,달마을공원산책길.kmz,0,0,0.0,-1,0,,진입마당-생태연못-야생초화원-달맞이언덕-아카시아나무 숲길-전망데크-숲속길-보호초식물화원,0.00605539,0.00605538763095,정보 없음
달마을공원산책길진입로3,달마을공원산책길.kmz,1,0,0.0,-1,0,,,0.00074187,0.000741868263979,정보 없음
개화산나들길진입로2,개화산나들길.kmz,1,0,0.0,-1,0,,,0.00176065,0.00176065329269,정보 없음
제목 없는 경로,개화산나들길.kmz,1,0,0.0,-1,0,,,0.00532402,0.00532401821809,정보 없음
고덕산산책길진입로,임시 장소/고덕산산책길.kmz/임시 장소,1,0,0.0,-1,0,,,0.01127498,0.0112749781454,8.9%
남산야외식물원진입로1,남산야외식물원산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00831494,0.00831494002827,정보 없음
달마을공원 산책길진입로2,달마을공원산책길.kmz,1,0,0.0,-1,0,,,0.00100326,0.00100325898419,정보 없음
제목 없는 경로,개화산나들길.kmz,1,0,0.0,-1,0,,,0.00151728,0.00151728349127,정보 없음
개화산나들길진입로5,개화산나들길.kmz,1,0,0.0,-1,0,,,0.00468732,0.00468731860637,정보 없음
고덕산 산책길,임시 장소/고덕산산책길.kmz/임시 장소,0,0,0.0,-1,0,,도덕산 정상,0.0189503,0.0189503041772,25.3%
문화자원길,임시 장소/고덕산산책길.kmz/임시 장소,2,0,0.0,-1,0,,,0.00414019,0.0041401887064,65.2%
개웅산 숲 산책길진입로2,임시 장소/개웅산숲 산책길.kmz,1,0,0.0,-1,0,,,0.0069172,0.00691719951002,정보 없음
문화자원연계부,임시 장소/개웅산숲 산책길.kmz,2,0,0.0,-1,0,,,0.00425202,0.00425202318247,정보 없음
개화산나들길,개화산나들길.kmz,0,0,0.0,-1,0,,하늘길 전망대-개화산 호국 충혼비-신선바위 전망대-아라뱃길 전망대-약사사-개화산 시작-성남물재생센터-꿩고개 공원-방화근린공원,0.07749503,0.0774950342692,정보 없음
문화자원길,임시 장소/고덕산산책길.kmz/임시 장소,2,0,0.0,-1,0,,,0.00334019,0.00334018528354,20.6%
백사실두메 나들길,백사실두메 나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.03277174,0.0327717445974,정보 없음
진입로1,백사실두메 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00306665,0.00306664913352,정보 없음
진입로2,백사실두메 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00515274,0.00515273999909,정보 없음
진입로3,백사실두메 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.01111178,0.0111117842452,정보 없음
백제고분군 산책길,백제고분군 산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00784706,0.00784706044078,9.2%
백제석총산책길,백제석총 산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00780279,0.00780279145745,2.9%
백제석총산책길 진입로,백제석총 산책길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00445556,0.00445556369644,1.0%
송파소리길,송파소리길.kmz/임시 장소,0,0,0.0,-1,0,,,0.09246833,0.092468325759,4.0%
송파소리길_2,송파소리길.kmz/임시 장소,0,0,0.0,-1,0,,,0.18945202,0.189452017861,25.5%
북한산자락 산책길,북한산자락 산책길.kmz/임시 장소,1,0,0.0,-1,0,,"길음초등학교 뒤편에서 시작되는 이 숲길은 서경대학교 뒤편을 지나면 성북생태체험관이 나온다. 생태체험관에서는 요일별로 다양한 생태프로그램을 운영하고 있으며 자연학습체험장이 함께 있다. 북한산 칼바위를 향한 북한산 자락길에 접어들면 울창한 잣나무 숲과 계류,",0.02563342,0.0256334242549,정보 없음
진입로1,북한산자락 산책길.kmz/임시 장소,2,0,0.0,-1,0,,,0.01190097,0.011900968813,정보 없음
불암산진입로1,불암산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00025978,0.000259775368725,정보 없음
불암산진입로2,불암산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00854276,0.00854275526099,정보 없음
불암산진입로3,불암산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00462483,0.00462482941137,정보 없음
진입로(한성대입구역),북악하늘 나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.02221657,0.0222165664879,정보 없음
북악하늘 나들길,북악하늘 나들길.kmz/임시 장소,1,0,0.0,-1,0,,서울의 비무장지대라고 불릴 정도로 잘 보존된 숲 사이로 뻗은 산책로를 통해 42년간 금단의 땅이었던 북악산을 만끽할 수 있는 코스이다.,0.02547328,0.0254732788091,정보 없음
불암산진입로4,불암산나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00444956,0.00444956170721,정보 없음
문화자원연계부,불암산나들길.kmz,2,0,0.0,-1,0,,,0.00540634,0.0054063448897,정보 없음
문화자원연계부,불암산나들길.kmz,2,0,0.0,-1,0,,,0.00260254,0.00260253940245,정보 없음
부암동 나들길,부암동 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"창의문에서 시작하여 산행 후 창의문으로 되돌아오는 산행의 강, 약이 혼재하는 원점회귀 코스다. 좁은 골목길로 안평대군 별장, 현진건 집터를 살펴본 후 인왕산 서북능선을 향해 걷다보면 기차바위 정상에 이른다. 기차바위에서는 폭1.5m 길이50m의 구간을 마치 기차 등을",0.04586994,0.0458699394578,정보 없음
북서울 꿈의숲 나들길,북서울 꿈의숲 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"자연친화적인 공원, 외각 순환 산책로는 편하게 걸을 수 있으며 나지막한 야산 산책로가 정비되어 있다.
",0.04006462,0.0400646238979,정보 없음
북서울 꿈의숲 산책길,북서울 꿈의숲 산책길.kmz,0,0,0.0,-1,0,,1번입구~창녕위궁재사~대숲길~월영지~월광폭포~미술관~청운답원~창포원~볼프라자~12번입구~꿈의숲아트센터~전망대,0.02158278,0.0215827789039,정보 없음
북악스카이웨이길,북악스카이웨이길.kmz/임시 장소,0,0,0.0,-1,0,,차량 통행로인 북악스카이웨이 길의 산책로를 따라 걸으며 자연을 만끽할 수 있는 산책 코스이다.,0.07361576,0.0736157619938,정보 없음
북악하늘 나들길,북악하늘 나들길.kmz/임시 장소,1,0,0.0,-1,0,,서울의 비무장지대라고 불릴 정도로 잘 보존된 숲 사이로 뻗은 산책로를 통해 42년간 금단의 땅이었던 북악산을 만끽할 수 있는 코스이다.,0.00262991,0.00262990714312,정보 없음
진입로1,북한산방학나들길.kmz,1,0,0.0,-1,0,,,0.01535053,0.0153505253608,정보 없음
진입로2,북한산방학나들길.kmz,1,0,0.0,-1,0,,,0.00480756,0.00480755836582,정보 없음
주변연계부,북한산자락 산책길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00355918,0.00355917835303,정보 없음
도심고궁 나들길,도심고궁 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"서울의 대표적인 궁궐 3곳과 종묘를 걷는 코스이다. 경복궁, 창덕궁, 창경궁, 종묘의 전각과 연못들을 감상하다 보면 생각이상으로 오래 걸릴 수 있다.",0.02654502,0.0265450238804,정보 없음
문화자원연계부,임시 장소/대모산 나들길.kmz,2,0,0.0,-1,0,,,0.00129031,0.00129030817702,13.4%
북서울꿈의숲나들길진입로1,북서울 꿈의숲 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00246848,0.00246847530794,정보 없음
도심고궁 나들길,도심고궁 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"서울의 대표적인 궁궐 3곳과 종묘를 걷는 코스이다. 경복궁, 창덕궁, 창경궁, 종묘의 전각과 연못들을 감상하다 보면 생각이상으로 오래 걸릴 수 있다.",0.03872555,0.0387255489557,정보 없음
대모산 나들길,임시 장소/대모산 나들길.kmz,0,0,0.0,-1,0,,실로암약수터-대모산 초소위-경작지-정자-야생화군락지-체력단련장-리기다소나무숲-독도모형-대모산정상,0.04844376,0.0484437566891,25.9%
도심고궁 나들길,도심고궁 나들길.kmz/임시 장소,0,0,0.0,-1,0,,"서울의 대표적인 궁궐 3곳과 종묘를 걷는 코스이다. 경복궁, 창덕궁, 창경궁, 종묘의 전각과 연못들을 감상하다 보면 생각이상으로 오래 걸릴 수 있다.",0.02565645,0.0256564499302,정보 없음
문화자원길,도심고궁 나들길.kmz,2,0,0.0,-1,0,,,0.00172123,0.0017212250466,정보 없음
진입로1,독립공원안산 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00172723,0.00172723019781,정보 없음
